# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      1 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      1      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      1 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      1 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1      9     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      1 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1      9     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      1 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      1 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      1 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      1 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     35      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      1 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      1 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
    0     11     26      -      0      0      0      0      0      0    405    210    100      0  22245      4      0      -      -      0      0      0 
    1     10     34      -      0      0      0      0      0      0    405    210    100      0  22245  22245      0      -      -      0      0      0 
